n,CNB I,CNB II
46,1.7696586804637257e-09,2.0700285770985745e-08
47,1.8088520969517506e-09,2.2957602510127143e-08
48,1.8561868825772195e-09,2.546998988225774e-08
49,1.905770358836025e-09,2.826515763628126e-08
50,1.960257199982515e-09,3.1373668839838084e-08
51,2.025932649337452e-09,3.482922897175991e-08
52,2.0932465349008835e-09,3.866896766789286e-08
53,2.1719774292753332e-09,4.2933800191082475e-08
54,2.263024821221513e-09,4.7668737840668276e-08
55,2.360541894179246e-09,5.292333964905546e-08
56,2.473443553663208e-09,5.875206514337337e-08
57,2.6043927498757823e-09,6.521480080544839e-08
58,2.7475200247264903e-09,7.237731599892208e-08
59,2.9125214414276447e-09,8.03118047371567e-08
60,3.103230678602549e-09,8.90975338632565e-08
61,3.3159588465963485e-09,9.882135652581916e-08
62,3.5597991834912495e-09,1.0957856877399335e-07
63,3.840319450501038e-09,1.214734885386042e-07
64,4.157965457281789e-09,1.3462037240086747e-07
65,4.520665167562608e-09,1.4914428855463396e-07
66,4.936374372908082e-09,1.6518192567690886e-07
67,5.4104537091486035e-09,1.8288285264521287e-07
68,5.951492340730025e-09,2.0241032452471823e-07
69,6.570007881995353e-09,2.23942726040052e-07
70,7.276438621390609e-09,2.476746705509406e-07
71,8.082851726081423e-09,2.738184374536892e-07
72,9.003519597036731e-09,3.0260546471616227e-07
73,1.005432374439065e-08,3.342878697595309e-07
74,1.125313372021524e-08,3.691402157698336e-07
75,1.2620347949934093e-08,4.074612939032979e-07
76,1.4179017133420088e-08,4.495760951791043e-07
77,1.5955113884014716e-08,4.95837916020494e-07
78,1.797799566757812e-08,5.466305866745565e-07
79,2.0280852779566228e-08,6.023708919971428e-07
80,2.290109854351895e-08,6.635111324930329e-07
81,2.5880856536435844e-08,7.305418699452068e-07
82,2.9267554903588362e-08,8.039948657489322e-07
83,3.3114571141459764e-08,8.844462010805784e-07
84,3.7481932883127743e-08,9.725196142803963e-07
85,4.243707494271556e-08,1.0688900526076493e-06
86,4.805568929228814e-08,1.174287447477539e-06
87,5.442267276034304e-08,1.2895007354820883e-06
88,6.163317960220921e-08,1.415382127206709e-06
89,6.979379750869218e-08,1.5528516383183992e-06
90,7.902382031407131e-08,1.702901898853382e-06
91,8.945663570807565e-08,1.8666032481722765e-06
92,1.0124126744529148e-07,2.0451091303420933e-06
93,1.145441182764478e-07,2.239661803771236e-06
94,1.295508635880506e-07,2.451598375648543e-06
95,1.4646847982491591e-07,2.68235717529143e-06
96,1.655274835939546e-07,2.9334844795731335e-06
97,1.869844462311101e-07,3.2066416024086822e-06
98,2.111247401600599e-07,3.503612361598393e-06
99,2.3826548439234776e-07,3.826310935802848e-06
100,2.687587775787648e-07,4.1767901236343144e-06
101,3.0299526801009837e-07,4.557250017149624e-06
102,3.414080389614771e-07,4.970047101509734e-06
103,3.844768160833638e-07,5.41770379185162e-06
104,4.3273255732713047e-07,5.902918418135532e-06
105,4.867624564590514e-07,6.428575667954736e-06
106,5.47215373138476e-07,6.997757496553723e-06
107,6.148077226088578e-07,7.613754512332671e-06
108,6.903298654648951e-07,8.28007784520759e-06
109,7.746530281303623e-07,9.000471503984917e-06
110,8.687367799720173e-07,9.778925227751685e-06
111,9.736371113793282e-07,1.0619687834841033e-05
112,1.09051516384748e-06,1.1527281071428298e-05
113,1.2206466415443846e-06,1.2506513960055505e-05
114,1.3654319407919876e-06,1.356249764666297e-05
115,1.5264070464284452e-06,1.4700660742599626e-05
116,1.7052552407027441e-06,1.5926765156025958e-05
117,1.9038196663385234e-06,1.7246922404677383e-05
118,2.1241167911169292e-06,1.8667610399646754e-05
119,2.3683508232296904e-06,2.0195690686982487e-05
120,2.6389291247018706e-06,2.1838426131274703e-05
121,2.93847867129289e-06,2.360349902217526e-05
122,3.2698636045745813e-06,2.5499029581710143e-05
123,3.636203926726546e-06,2.7533594846796287e-05
124,4.040895385112328e-06,2.971624789780897e-05
125,4.487630597946754e-06,3.205653740040167e-05
126,4.98042146437291e-06,3.456452742372792e-05
