n,CNB I,CNB II
599,7.465460067957444e-22,4.5201974375352006e-17
600,5.623245810763926e-22,3.6476444285798495e-17
601,4.231394162894145e-22,2.9412213073742594e-17
602,3.1808660821880083e-22,2.3697504314582365e-17
603,2.3887590259927437e-22,1.9078173964169754e-17
604,1.7921069086175607e-22,1.5347225298174162e-17
605,1.343135003140307e-22,1.2336199573246427e-17
606,1.0056321818349341e-22,9.908112783911776e-18
607,7.521803133251722e-23,7.951665726371195e-18
608,5.620405191707662e-23,6.376501814080619e-18
609,4.1954226046934173e-23,5.1093263077650255e-18
610,3.128569332445643e-23,4.090733155720952e-18
611,2.3306517971589137e-23,3.2726126041681426e-18
612,1.7344832154455852e-23,2.6160350654897063e-18
613,1.2895062816506526e-23,2.089525204983371e-18
614,9.577166348045137e-24,1.6676554762790147e-18
615,7.105757171020083e-24,1.3299009460564978e-18
616,5.266753698269017e-24,1.0597076538828593e-18
617,3.8997298597161145e-24,8.437353308766427e-19
618,2.8845924222153772e-24,6.712423660889023e-19
619,2.1315344829737736e-24,5.335867235377934e-19
620,1.5734675368119023e-24,4.2382129303327107e-19
621,1.1603266841564924e-24,3.3636608461006543e-19
622,8.547899134881857e-25,2.667428990692804e-19
623,6.290637520242831e-25,2.1136074966750342e-19
624,4.624722111062515e-25,1.6734247488897213e-19
625,3.3965020209354054e-25,1.323847542412724e-19
626,2.491913200672493e-25,1.0464518813557495e-19
627,1.8263679840548602e-25,8.265128692368582e-20
628,1.3372036201194397e-25,6.522718070190363e-20
629,9.780481291219915e-26,5.1434649794940943e-20
630,7.146211653105848e-26,4.052571819434034e-20
631,5.21607740281702e-26,3.190457519556998e-20
632,3.8033318726067466e-26,2.5097015865828386e-20
633,2.7703586654944716e-26,1.9725936678801363e-20
634,2.0158531498372198e-26,1.5491703347977958e-20
635,1.465319863543391e-26,1.215643559726861e-20
636,1.0640356257971903e-26,9.531438163914364e-21
637,7.71844159343822e-27,7.467156777124981e-21
638,5.593096706226855e-27,5.845158766516924e-21
639,4.048776651652736e-27,4.571735688910461e-21
640,2.92781496956619e-27,3.5728042918998296e-21
641,2.1150044211978722e-27,2.7898458187196936e-21
642,1.5262522121495328e-27,2.1766749991741027e-21
643,1.1002420402078784e-27,1.6968714218922147e-21
644,7.923126556895554e-28,1.3217392577884597e-21
645,5.699685666809828e-28,1.028688056500727e-21
646,4.095912752214841e-28,7.99948826035799e-22
647,2.9403260532107997e-28,6.215568509128947e-22
648,2.1085544143318843e-28,4.825465312570419e-22
649,1.5104911392922722e-28,3.7431460197895755e-22
650,1.0809239001326198e-28,2.90116956508408e-22
651,7.727075320447208e-29,2.2467138860005676e-22
652,5.517950228787963e-29,1.7384422928847684e-22
653,3.936248763225654e-29,1.3440337669110863e-22
654,2.804974628099563e-29,1.0382382143522756e-22
655,1.9967169050691223e-29,8.013464284079652e-23
656,1.419857385134201e-29,6.179873747923598e-23
657,1.0085864758738111e-29,4.7618360199705554e-23
658,7.156839119148456e-30,3.666100265737532e-23
659,5.0730434161568046e-30,2.820128147802128e-23
660,3.592151329788551e-30,2.167541801837976e-23
661,2.5408492551161893e-30,1.6645612657193562e-23
662,1.7953160521796937e-30,1.2772187358186645e-23
663,1.267185440680617e-30,9.79182175106624e-24
664,8.934622085054819e-31,7.500564790144548e-24
665,6.2928656313465066e-31,5.740585774935127e-24
666,4.4274788151513e-31,4.389850752578448e-24
667,3.1117148365278275e-31,3.354085470379083e-24
668,2.1846298174306486e-31,2.56052395909724e-24
669,1.5321108636059765e-31,1.953050321209592e-24
670,1.0733374824692066e-31,1.4884265707430092e-24
671,7.511309673595708e-32,1.1333663313976924e-24
672,5.25082814343641e-32,8.622667320444346e-25
673,3.6666731948952194e-32,6.554520143395746e-25
674,2.557692682944512e-32,4.978146117740001e-25
675,1.782197257688374e-32,3.7776468701268215e-25
676,1.2404918841062996e-32,2.8641883384513636e-25
677,8.625063914494806e-33,2.1697404993282385e-25
678,5.990463780609254e-33,1.6422510199096991e-25
679,4.1561172534895414e-33,1.2419277126095304e-25
680,2.8803405963928564e-33,9.38377615236285e-26
681,1.9940135117074163e-33,7.08407275408338e-26
682,1.3789230530312072e-33,5.343329385904237e-26
683,9.525310415939168e-34,4.026836052500465e-26
684,6.572716457432351e-34,3.032065109126049e-26
685,4.530402575590998e-34,2.281051946158336e-26
686,3.1192796651216986e-34,1.7145628509692404e-26
687,2.1453439716668322e-34,1.2876348665260506e-26
688,1.4738868240577923e-34,9.661679606132344e-27
689,1.0114755740094773e-34,7.243235753193195e-27
690,6.933782289152734e-35,5.42540539379339e-27
691,4.74797057223309e-35,4.060232016056086e-27
692,3.2476433274662613e-35,3.03590437111831e-27
693,2.218965757734885e-35,2.2680018194967224e-27
694,1.514447813986727e-35,1.6928414306914145e-27
695,1.0324735522993507e-35,1.2624268512814596e-27
696,7.031110774133238e-36,9.406167804214376e-28
697,4.7828724165536706e-36,7.002212194169819e-28
698,3.249922256611427e-36,5.208028459393204e-28
699,2.205849789894911e-36,3.8701380333313405e-28
700,1.4955369654022427e-36,2.873386675366528e-28
701,1.012828905415802e-36,2.1314526572942297e-28
702,6.85160322283728e-37,1.579686082703278e-28
703,4.629829178750151e-37,1.1697117730276115e-28
704,3.1250274523530547e-37,8.653651093174987e-29
705,2.1069696154384376e-37,6.396344304532447e-29
706,1.4189847704105123e-37,4.723628105491477e-29
707,9.54578568098701e-38,3.485222065049938e-29
708,6.414452077442626e-38,2.569186207272319e-29
709,4.305472759263187e-38,1.8922153253200084e-29
710,2.8866556275636453e-38,1.392370623025859e-29
711,1.9332205804813165e-38,1.0236416417807625e-29
712,1.293241395832479e-38,7.518813414834722e-30
713,8.641497135839969e-39,5.517704172720171e-30
714,5.7677846535861974e-39,4.045523514412463e-30
715,3.845379317721813e-39,2.9634508543337116e-30
716,2.560819003528014e-39,2.1688368277404282e-30
717,1.7034428835755527e-39,1.5858483192843966e-30
718,1.1318391374543647e-39,1.1585145603882384e-30
719,7.511898648150438e-40,8.4556285058124e-31
720,4.9799164401610735e-40,6.16586913168747e-31
721,3.2976241529479033e-40,4.4920665747345845e-31
722,2.1811546436848892e-40,3.2696479893399407e-31
723,1.4410445317601265e-40,2.3777062909758666e-31
724,9.50984466053319e-41,1.7274968569456314e-31
725,6.268649057064159e-41,1.2539425311081367e-31
726,4.1274178502549937e-41,9.093661074954834e-32
727,2.714477828757209e-41,6.588705752893881e-32
728,1.7831873338656154e-41,4.7693712856331726e-32
729,1.1700647178581413e-41,3.4492230170451246e-32
730,7.668748006081506e-42,2.4921833586879326e-32
731,5.020421123056329e-42,1.7990230609892196e-32
732,3.282890166739483e-42,1.2974509234797096e-32
733,2.144235622994476e-42,9.348502864711525e-33
734,1.3989043896184774e-42,6.729604687934596e-33
735,9.11595879963473e-43,4.8398605397925285e-33
736,5.933553874311449e-43,3.4775340448254666e-33
737,3.857669890058671e-43,2.496345100328532e-33
738,2.5051416409893223e-43,1.7903254502172536e-33
739,1.624934953677924e-43,1.282782173830628e-33
740,1.052774995300992e-43,9.18262507406623e-34
741,6.812875330120325e-44,6.567093962910506e-34
742,4.403723419946188e-44,4.6921456436172685e-34
743,2.843176049594608e-44,3.3493539666182835e-34
744,1.8335003761291882e-44,2.388588577289361e-34
745,1.1810035349898316e-44,1.7018129593990669e-34
746,7.598252853344e-45,1.2113563003035694e-34
747,4.882789951599795e-45,8.614320116711372e-35
748,3.1341047167808514e-45,6.120100658822326e-35
749,2.00932194556841e-45,4.34394185234258e-35
750,1.286694716152407e-45,3.080326443822695e-35
751,8.229830168446735e-46,2.1822083350308452e-35
752,5.257690211020571e-46,1.544478340230091e-35
753,3.354959452622194e-46,1.092076342532039e-35
754,2.138292517406792e-46,7.714524439765242e-36
755,1.3612375148609593e-46,5.444396158130659e-36
756,8.655398118393976e-47,3.838610908030135e-36
757,5.497002388920305e-47,2.7038444014852282e-36
758,3.486983808420118e-47,1.9027070990796487e-36
759,2.209319128654603e-47,1.337655355872417e-36
760,1.3981407028780415e-47,9.395026027201672e-37
761,8.837442392800475e-48,6.592233939616085e-37
762,5.579367745010185e-48,4.621122795193218e-37
763,3.518239796491832e-48,3.2362501757974712e-37
764,2.21588555121843e-48,2.264205017440284e-37
765,1.39395910854429e-48,1.582588098122081e-37
766,8.758564660196346e-49,1.1050907102617196e-37
767,5.4966163100369136e-49,7.709127811653266e-38
768,3.445377829283398e-49,5.372658624000892e-38
769,2.1570321203763644e-49,3.7406693912037894e-38
770,1.3488202184427684e-49,2.601865717031354e-38
771,8.424198488069601e-50,1.8079869776305577e-38
772,5.255082675496154e-50,1.255104756708883e-38
773,3.2742084214862084e-50,8.704389195146374e-39
774,2.0375499412505848e-50,6.030726923402623e-39
775,1.2664403561355998e-50,4.174201886792339e-39
776,7.862037689501217e-51,2.8863503531429856e-39
777,4.874822027386572e-51,1.9938653906340593e-39
778,3.0189438244360436e-51,1.3759834172219865e-39
779,1.8673394884471084e-51,9.486380095832588e-40
780,1.1536202487728111e-51,6.533669761533279e-40
781,7.11824865489654e-52,4.495547093237733e-40
782,4.3868571087543385e-52,3.0901247570548418e-40
783,2.7002453343058016e-52,2.121958765371339e-40
784,1.6600520796323198e-52,1.455675943911635e-40
785,1.0193147390997089e-52,9.976051425788139e-41
786,6.251184904420688e-53,6.829961141529226e-41
787,3.8289807450913443e-53,4.671353508322788e-41
788,2.342449087792014e-53,3.1917697167885493e-41
789,1.4312734729522766e-53,2.178632837354491e-41
790,8.734537404461031e-54,1.4855921084147442e-41
791,5.323795446995987e-54,1.011993043802703e-41
792,3.240905104197083e-54,6.886796279421352e-42
793,1.97048942427975e-54,4.681856184452965e-42
794,1.1965864368638021e-54,3.179650478524423e-42
795,7.257307927019343e-55,2.1572502767723947e-42
796,4.396103045978737e-55,1.4621127824880527e-42
797,2.6596246265990593e-55,9.899648091866183e-43
798,1.6070608599564166e-55,6.696016764689542e-43
799,9.69846773610547e-56,4.5244995500519e-43
800,5.845640114942047e-56,3.054085246138872e-43
801,3.5189937449572127e-56,2.0594331285833277e-43
802,2.115737128756541e-56,1.3872972073792564e-43
803,1.2704601059553961e-56,9.335679835060304e-44
804,7.619312514898013e-57,6.275904793655397e-44
805,4.5637861731907603e-57,4.2146357131582046e-44
806,2.7301647210836775e-57,2.827459382647679e-44
807,1.6311946428779657e-57,1.8948929407184567e-44
808,9.733642861812616e-58,1.2685987681869789e-44
809,5.800921957737442e-58,8.484270943186778e-45
810,3.452788209862961e-58,5.668324950736108e-45
811,2.0525486759512117e-58,3.783068839209564e-45
812,1.2186160737883771e-58,2.5222165440940705e-45
813,7.2258601792687336e-59,1.679842025482155e-45
814,4.2791816254806045e-59,1.1176396047111838e-45
815,2.5309274735537176e-59,7.428167947572334e-46
816,1.4950158293354767e-59,4.931823838918742e-46
817,8.819790877775875e-60,3.2709855395397786e-46
818,5.196566438864895e-60,2.1671762682945447e-46
819,3.057874600081878e-60,1.4343452713269247e-46
820,1.7970788780700986e-60,9.48323134968917e-47
821,1.0547709905163882e-60,6.263274784164559e-47
822,6.182897815117808e-61,4.1322669975190286e-47
823,3.619662683203647e-61,2.723431020724575e-47
824,2.1163405526347417e-61,1.7930185642159616e-47
825,1.2357872487438532e-61,1.179214732929252e-47
826,7.206789662059149e-62,7.747115175769962e-48
827,4.19738921517629e-62,5.0842328675560706e-48
828,2.4414912434763435e-62,3.3331008768641914e-48
829,1.418302623330904e-62,2.182772031648378e-48
830,8.228481918046112e-63,1.4279220350927775e-48
831,4.767677593247461e-63,9.331169857831455e-49
832,2.758859946218119e-63,6.091194528019338e-49
833,1.594363374020832e-63,3.971942076474275e-49
834,9.201933876520987e-64,2.5872398561925677e-49
835,5.304009740658073e-64,1.68346120635993e-49
836,3.053248717375487e-64,1.0942119394465026e-49
837,1.7553025234082054e-64,7.104458510027656e-50
838,1.0077967429322638e-64,4.607772100599843e-50
839,5.778622937795793e-65,2.9852503058012474e-50
840,3.309066152360099e-65,1.9319662666383335e-50
841,1.8924110578802142e-65,1.2489545267129093e-50
842,1.0808207864904928e-65,8.065314078167121e-51
843,6.164804798480563e-66,5.2026280917924656e-51
844,3.511653402641091e-66,3.352357955982878e-51
845,1.9976981894837997e-66,2.1577611037576355e-51
846,1.1349409427272161e-66,1.3873338062101716e-51
847,6.439335379489089e-67,8.910097846276952e-52
848,3.648652115141151e-67,5.7161962579187336e-52
849,2.064651392884209e-67,3.663145761133027e-52
850,1.1667642303826944e-67,2.3448924840408712e-52
851,6.58477296805762e-68,1.4993830174772414e-52
852,3.711240163595116e-68,9.576843925546672e-53
853,2.0888973237000072e-68,6.110146874770971e-53
854,1.1741785203523303e-68,3.894032345016854e-53
855,6.591274445882398e-69,2.4789363079894803e-53
856,3.6950651833610626e-69,1.5763343304622415e-53
857,2.0686712362117516e-69,1.0012619021802964e-53
858,1.1565827906400717e-69,6.352763382293413e-54
859,6.457688135598186e-70,4.0261739486909687e-54
860,3.600739575037899e-70,2.548804292495754e-54
861,2.005025351389553e-70,1.611735523293386e-54
862,1.1149637381151028e-70,1.0180371554907291e-54
863,6.191751834147739e-71,6.423108672668241e-55
864,3.4338195265976855e-71,4.047975980865373e-55
865,1.9017425208017293e-71,2.548242902198885e-55
866,1.0518056338435273e-71,1.6023344870305402e-55
867,5.809355977639047e-72,1.006408315884649e-55
868,3.204264813960646e-72,6.313979242424224e-56
869,1.764964273193645e-72,3.95675531314046e-56
870,9.708446295884063e-73,2.476746525517489e-56
871,5.332968637137191e-73,1.548565090714342e-56
872,2.925452122660853e-73,9.671238852157502e-57
873,1.60258403243463e-73,6.033074688489769e-57
874,8.767013174974815e-74,3.759226089765811e-57
875,4.789439779988987e-74,2.339701984654559e-57
876,2.61287817182801e-74,1.4545350569034543e-57
877,1.4234891595777681e-74,9.032096969621247e-58
878,7.744420015510287e-75,5.602126790757831e-58
879,4.2074845857303916e-75,3.4706946953418555e-58
880,2.2827283665847633e-75,2.147722743572441e-58
881,1.2367535609402876e-75,1.3275091831260965e-58
882,6.691269119006164e-76,8.19584149990793e-59
883,3.615175449254388e-76,5.054118846490542e-59
884,1.9504955877390356e-76,3.11309527324753e-59
885,1.0508831585672423e-76,1.9152859171540975e-59
886,5.654014416521559e-77,1.1769777044643573e-59
887,3.037746722353851e-77,7.224294600707612e-60
888,1.6298120652589584e-77,4.4290891502295927e-60
889,8.732004681562419e-78,2.712216336423949e-60
890,4.671754347275412e-78,1.6589157519083886e-60
891,2.4959437001817417e-78,1.013476298030527e-60
892,1.331611257372379e-78,6.184310489528875e-61
893,7.094260858782331e-79,3.769264012502101e-61
894,3.7741834454110095e-79,2.294608354121014e-61
895,2.0050450937929707e-79,1.3952321571020698e-61
896,1.0636768307816313e-79,8.473628710132904e-62
897,5.63480377243853e-80,5.140159315434807e-62
898,2.9807843668216576e-80,3.114347517951789e-62
899,1.574577749647407e-80,1.8846905463346106e-62
900,8.305744481531988e-81,1.1391860595803857e-62
901,4.374949502563088e-81,6.877491158247288e-63
902,2.301159164662599e-81,4.1471078137948933e-63
903,1.2086443315768512e-81,2.4976964246877975e-63
904,6.339101944176587e-82,1.502491940912954e-63
905,3.319964302994013e-82,9.027384748613077e-64
906,1.736259588513587e-82,5.4173660670669214e-64
907,9.067145107909303e-83,3.2470574092212175e-64
908,4.728247910000112e-83,1.9438664605560445e-64
909,2.4620834695852765e-83,1.1622958315234199e-64
910,1.2801983358110132e-83,6.9412844977939336e-65
911,6.64695575148185e-84,4.140330734070142e-65
912,3.446183893384541e-84,2.4666149538011203e-65
913,1.7841169748280422e-84,1.4677021503681105e-65
914,9.223091159233586e-85,8.722557715745781e-66
915,4.7609876582917426e-85,5.177477582858049e-66
916,2.4540537239172788e-85,3.0694471311786957e-66
917,1.2630967179243894e-85,1.8174762333021543e-66
918,6.491629860574895e-86,1.0748381468522437e-66
919,3.3314596912236634e-86,6.348662543576095e-67
920,1.7071752813267544e-86,3.74528908981501e-67
921,8.735413460343308e-87,2.2067415148030536e-67
922,4.463234228355567e-87,1.2986128238327253e-67
923,2.2770670136479405e-87,7.63254006569438e-68
924,1.1600078277689618e-87,4.480420345695002e-68
925,5.90070706486523e-88,2.6268045944238256e-68
926,2.997120934041727e-88,1.5381375888923775e-68
927,1.5200595524478698e-88,8.995391843116318e-69
928,7.697897189268185e-89,5.254138741846964e-69
929,3.8925824379262734e-89,3.065057328489567e-69
930,1.965426369258303e-89,1.7857898239939767e-69
931,9.908958753353985e-90,1.0391442089210303e-69
932,4.988277183238419e-90,6.039126009584749e-70
933,2.5073991822108938e-90,3.505292040783183e-70
934,1.2584783636528047e-90,2.0320070848801055e-70
935,6.306906928429407e-91,1.1764573094270232e-70
936,3.155981923609687e-91,6.802618486666027e-71
937,1.5768813839430655e-91,3.92847584650164e-71
938,7.866997174693315e-92,2.2657872475257296e-71
939,3.918893158417345e-92,1.3051495357713384e-71
940,1.9492220817726857e-92,7.508385380455217e-72
941,9.68058712612924e-93,4.3139688462851386e-72
942,4.800467706229805e-93,2.4754299849265923e-72
943,2.376872499911032e-93,1.4186214019721625e-72
944,1.1750807057711494e-93,8.119393806814622e-73
945,5.800533973291955e-94,4.64110036861609e-73
946,2.8589444352756673e-94,2.6494613335031116e-73
947,1.4069540148669866e-94,1.5105409148523358e-73
948,6.913365602164996e-95,8.600915705282842e-74
949,3.391825963687274e-95,4.89094957797469e-74
950,1.6615407193484147e-95,2.7776465275645672e-74
951,8.126822714978797e-96,1.5754153351301499e-74
952,3.968824754347153e-96,8.92373063376655e-75
953,1.9352334805122165e-96,5.048125262227469e-75
954,9.421804529966398e-97,2.8519707643070524e-75
955,4.579974375620856e-97,1.6091268378449755e-75
956,2.2228963010556407e-97,9.067023330924738e-76
957,1.0772128139702703e-97,5.10231672898181e-76
958,5.212054211717148e-98,2.867459534718884e-76
959,2.5179111022558424e-98,1.609360574807246e-76
960,1.2144925715420943e-98,9.02058212716658e-77
961,5.848860689491618e-99,5.049401276147174e-77
962,2.812344870428932e-99,2.8227231405043855e-77
963,1.3501614236266529e-99,1.5758639466868237e-77
964,6.471747554418136e-100,8.785978795702076e-78
965,3.097241890965198e-100,4.891944607378385e-78
966,1.479944028058702e-100,2.720143464672103e-78
967,7.060427358997386e-101,1.5104972382639646e-78
968,3.36303308558625e-101,8.376543556097393e-79
969,1.599354214163804e-101,4.639012009047643e-79
970,7.593997661620567e-102,2.565670079494877e-79
971,3.600041020834313e-102,1.417064840639935e-79
972,1.7039409322821601e-102,7.81611906104992e-80
973,8.052127080018185e-103,4.305306418733665e-80
974,3.7990464374638566e-103,2.3682489140676555e-80
975,1.7895563427835426e-103,1.3009479656353004e-80
976,8.416312154001923e-104,7.136753900001618e-81
977,3.9518719635535496e-104,3.90974689499982e-81
978,1.8526242872901823e-104,2.138959700883218e-81
979,8.671099685293345e-105,1.1685882171695985e-81
980,4.051932671537619e-105,6.375646761256008e-82
981,1.8903853850780646e-105,3.4736793992222844e-82
982,8.80516383695864e-106,1.889978461678065e-82
983,4.0947025372748363e-106,1.0268913692555201e-82
984,1.9010956272078108e-106,5.5717492926535825e-83
985,8.812134483675717e-107,3.01895699830922e-83
986,4.0780511948055965e-107,1.6335012261176671e-83
987,1.8841587260710394e-107,8.826287221990514e-84
988,8.691093095456663e-108,4.762462543464532e-84
989,4.002416364095891e-108,2.566131361583687e-84
990,1.8401783515865923e-108,1.3807620910943387e-84
991,8.446682963253495e-109,7.41908498301773e-85
992,3.8707928297762657e-109,3.9808170075086636e-85
993,1.7709241022729668e-109,2.1329629581816012e-85
994,8.088818327416087e-110,1.1412544741149852e-85
995,3.6885370248328806e-110,6.0977357373133986e-86
996,1.6792136793950458e-110,3.2534225535917345e-86
997,7.632017258679194e-111,1.7333926585525816e-86
998,3.463004832904877e-111,9.222249609851634e-87
999,1.5687221569080258e-111,4.899582361353902e-87
1000,7.0944207948485575e-112,2.5993355616224937e-87
1001,3.203056774229597e-112,1.3770368192830177e-87
1002,1.4437363821515962e-112,7.284629917693171e-88
1003,6.496591008114722e-113,3.84810562350015e-88
1004,2.918477165616339e-113,2.0298448103180361e-88
1005,1.3088774977504684e-113,1.0691874531835851e-88
1006,5.8601996080132215e-114,5.6236572077922604e-89
1007,2.6193606324298993e-114,2.9536334177689847e-89
1008,1.1688167625537987e-114,1.54905167550103e-89
1009,5.206724277170992e-115,8.112329238215545e-90
1010,2.3155198219376436e-115,4.242231509712674e-90
1011,1.028009094734262e-115,2.2151904927863647e-90
1012,4.5562620449923595e-116,1.1550332471035327e-90
1013,2.0159625589564855e-116,6.013722138631579e-91
1014,8.904653103919968e-117,3.126485830425714e-91
1015,3.926549381774663e-117,1.6230525089983192e-91
1016,1.7284760727890146e-117,8.413378640574667e-92
1017,7.595784963795838e-118,4.354806005205455e-92
1018,3.33225062777405e-118,2.2507458459281964e-92
1019,1.4593420125873592e-118,1.1615612460391529e-92
1020,6.380131943453318e-119,5.985694201035613e-93
1021,2.7845440727380656e-119,3.0799412381487214e-93
1022,1.2131907832813236e-119,1.5824302002561355e-93
1023,5.276590401827846e-120,8.118198216514061e-94
1024,2.2910028991670077e-120,4.1585930200703654e-94
1025,9.929892907029267e-121,2.127078858011354e-94
1026,4.2964409960874475e-121,1.0863502753582398e-94
1027,1.8557402474653776e-121,5.5399263995038086e-95
1028,8.001441813955591e-122,2.8208802240387088e-95
1029,3.443980809550584e-122,1.4342026959436221e-95
1030,1.479766781031455e-122,7.2808210579001494e-96
1031,6.346942619857422e-123,3.690564566731711e-96
1032,2.7175233296142424e-123,1.8678696845821712e-96
1033,1.1614969121820705e-123,9.439311940090646e-97
1034,4.9556150272552404e-124,4.762914450760316e-97
1035,2.1106218760720064e-124,2.3996205653690245e-97
1036,8.973364842161163e-125,1.2071142882979423e-97
1037,3.8082975436293076e-125,6.063018470672169e-98
1038,1.6133764386650535e-125,3.0406241255642564e-98
1039,6.822891558907046e-126,1.522539549361277e-98
1040,2.8802340013093424e-126,7.612110394359241e-99
1041,1.2137024899042798e-126,3.799888629633847e-99
1042,5.105290905568605e-127,1.8939329208834405e-99
1043,2.1436364627207984e-127,9.425076593014643e-100
1044,8.98468331127612e-128,4.683067131996445e-100
1045,3.7590145651887264e-128,2.323270105058932e-100
1046,1.569869076271372e-128,1.1507777871469134e-100
1047,6.544397084792669e-129,5.6912058887431546e-101
1048,2.7232732300748825e-129,2.81019718716265e-101
1049,1.1311670287372761e-129,1.3854395072701622e-101
1050,4.690020919371215e-130,6.819542123004384e-102
1051,1.9410374405237038e-130,3.351493138902719e-102
1052,8.018676634227268e-131,1.6445061894028358e-102
1053,3.306585081301959e-131,8.056480005624071e-103
1054,1.3610167546443436e-131,3.9406365149644934e-103
1055,5.5918119463263173e-132,1.9244082812362515e-103
1056,2.293218851146404e-132,9.382885602491849e-104
1057,9.387303219312467e-133,4.567542037536221e-104
1058,3.835633642701486e-133,2.2199038780589565e-104
1059,1.5643461193059299e-133,1.0771838264624237e-104
1060,6.368344630035091e-134,5.218528531686372e-105
1061,2.5877168930114294e-134,2.524105051595255e-105
1062,1.0495471886203365e-134,1.2188954365337829e-105
1063,4.248940884716095e-135,5.876566673099623e-106
1064,1.716925370226776e-135,2.8286394959545926e-106
1065,6.92488636700589e-136,1.3593358476069827e-106
1066,2.787808108335992e-136,6.521833214470449e-107
1067,1.1202129205940651e-136,3.1239556786856153e-107
1068,4.492873906516653e-137,1.4939318922930356e-107
1069,1.7985905454264882e-137,7.132569131347514e-108
1070,7.186596654674774e-138,3.399765227446817e-108
1071,2.8661280153261996e-138,1.6178494200907315e-108
1072,1.1409003148449012e-138,7.686205271072487e-109
1073,4.532920123796211e-139,3.6456002430282426e-109
1074,1.7975671598376145e-139,1.726266181251943e-109
1075,7.114875635193394e-140,8.160684618907149e-110
1076,2.810755443677674e-140,3.85144761770393e-110
1077,1.1082833053594252e-140,1.8146731609145183e-110
1078,4.3616310315474494e-141,8.535879970004476e-111
1079,1.7132307901519322e-141,4.008409507433611e-111
1080,6.716608552893918e-142,1.8791792133612056e-111
1081,2.6281480456741326e-142,8.794984406590067e-112
1082,1.0263928725239094e-142,4.1093310038323947e-112
1083,4.000735420819597e-143,1.9167910195818966e-112
1084,1.5564200557243426e-143,8.925743540691277e-113
1085,6.043283442973739e-144,4.149334436719164e-113
1086,2.3419447067483653e-144,1.9256407540186336e-113
1087,9.058081006421655e-145,8.921405452657703e-114
1088,3.4966326579125874e-145,4.126205444525135e-114
1089,1.3471514242496715e-145,1.9051376312703226e-114
1090,5.180047699552755e-146,8.781286956762979e-115
1091,1.987926756628866e-146,4.040588762389707e-115
1092,7.614030386845925e-147,1.8560264383398257e-115
1093,2.9105479749916594e-147,8.510891196645036e-116
1094,1.1103992654167111e-147,3.895970278746058e-116
1095,4.2279138264829874e-148,1.7803454710254878e-116
1096,1.6066228868460362e-148,8.121557340965114e-117
1097,6.093136818307702e-149,3.6984440258165506e-117
1098,2.3062445621777815e-149,1.6812868105943617e-117
1099,8.711752346413811e-150,7.629672410796756e-118
1100,3.2842763370183734e-150,3.4562854945224026e-118
1101,1.2356803485739392e-150,1.5629721995328235e-118
1102,4.639841340106059e-151,7.055521406407224e-119
1103,1.7387170676346622e-151,3.179372927051098e-119
1104,6.502520806158927e-152,1.4301665027202386e-119
1105,2.4269446485835777e-152,6.421888654889212e-120
1106,9.039856051508825e-153,2.8785133028435004e-120
1107,3.360353051317436e-153,1.2879567030312652e-120
1108,1.24660330006052e-153,5.7525458117500385e-121
1109,4.615192493650886e-154,2.5647376463883723e-121
1110,1.705170286891207e-154,1.1414268316287138e-121
1111,6.287243506203643e-155,5.070767550510112e-122
1112,2.3134791230872067e-155,2.2486301997116228e-122
1113,8.495361254934606e-156,9.953579664501645e-123
1114,3.1132016887269337e-156,4.398004583627413e-123
1115,1.1385181838329157e-156,1.9397482849319888e-123
1116,4.155068182073478e-157,8.53977799367563e-124
1117,1.513282330235144e-157,3.7528177096546162e-124
1118,5.50001072821435e-158,1.6461758074096908e-124
1119,1.994835184744389e-158,7.207771022101552e-125
1120,7.220188580953545e-159,3.1501405094311236e-125
1121,2.60787170947941e-159,1.3742356039047238e-125
1122,9.399790653753249e-160,5.984018590478578e-126
1123,3.3809793861293886e-160,2.6008977117513215e-126
1124,1.2135490841260017e-160,1.1283668972436499e-126
1125,4.346710782703376e-161,4.886211303964059e-127
1126,1.5536414488764094e-161,2.1119668814715852e-127
1127,5.54147764666077e-162,9.111565814061831e-128
1128,1.9723463078133294e-162,3.923630265288107e-128
1129,7.005217357422671e-163,1.686437949796617e-128
1130,2.4827841674647207e-163,7.234990500544934e-129
1131,8.780783519820566e-164,3.0980536927830933e-129
1132,3.0988642946320132e-164,1.3241017264246815e-129
1133,1.091301761521901e-164,5.64850153936005e-130
1134,3.834936541817105e-165,2.405042096616312e-130
1135,1.3447468750594119e-165,1.022086564753477e-130
1136,4.7053284233734995e-166,4.3353710079157226e-131
1137,1.6428744197753183e-166,1.8354242627392314e-131
1138,5.723765119550338e-167,7.755615799782813e-132
1139,1.9898494736002994e-167,3.270873318815357e-132
1140,6.902677690160135e-168,1.376818751824496e-132
1141,2.3893065413813225e-168,5.784334687505244e-133
1142,8.252413919414006e-169,2.425446068610643e-133
1143,2.8440873208298015e-169,1.0150545041990066e-133
1144,9.780376458270661e-170,4.23979238874202e-134
1145,3.355960647822223e-170,1.76748303362408e-134
1146,1.1490123631715024e-170,7.35392656172708e-135
1147,3.9253374694238056e-171,3.0537580457684e-135
1148,1.338047858516091e-171,1.2656079080508934e-135
1149,4.550996772754563e-172,5.234929837411697e-136
1150,1.5444701348994827e-172,2.1610637638557812e-136
1151,5.2298408632393e-173,8.903632352470696e-137
1152,1.766978481237158e-173,3.6610668562900326e-137
1153,5.95669989026054e-174,1.5024041555252924e-137
